ORCID,name,affiliation.name,X,Y
http://orcid.org/0000-0003-1773-6236,Kendra Kaiser,Geosciences Department Boise State University  Boise ID USA,-116.1998719,43.602876
http://orcid.org/0000-0003-1773-6236,Kendra Kaiser,Geosciences Department Boise State University  Boise ID USA,-116.1998719,43.602876
29,Laurie C. Alexander,"USEPA Office of Research and Development, National Center for Environmental Assessment; William Jefferson Clinton Building, 1200 Pennsylvania Avenue, N. W., Mail Code: 8623P Washington DC 20460 USA",-77.0290095,38.8936901
31,Margaret A. Palmer,National Socio‐Environmental Synthesis Center University of Maryland  College Park MD USA,-76.9425543,38.9869183
32,Margaret A. Palmer,University of Maryland Center For Environmental Sciences,-76.9425543,38.9869183
http://orcid.org/0000-0001-8287-1923,Margaret A. Zimmer,"Department of Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
http://orcid.org/0000-0001-8287-1923,Margaret A. Zimmer,"Department of Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
http://orcid.org/0000-0003-1710-1548,Margaret Shanafield,College of Science and Engineering Flinders University  Adelaide Australia,138.5707452,-35.0272039
http://orcid.org/0000-0001-8287-1923,Margaret Zimmer,"Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
http://orcid.org/0000-0001-8287-1923,Margaret Zimmer,"Earth and Planetary Sciences University of California, Santa Cruz  Santa Cruz CA USA",-122.0596412,36.9980199
36,Megan W. Lang,USFWS National Wetlands Inventory Program; 5275 Leesburg Pike Falls Church VA 22041 USA,-77.1200436,38.845816
37,Melanie K. Vanderhoof,"U.S. Geological Survey Geosciences and Environmental Change Science Center; P.O. Box 25046, DFC, MS 980 Denver CO 80225 USA",-105.12,39.72
http://orcid.org/0000-0003-0570-988X,Meryl C. Mims,Department of Biological Sciences Virginia Tech  Blacksburg VA USA,-80.425610699999993,37.2290741
http://orcid.org/0000-0002-8150-8476,Michael T. Bogan,School of Natural Resources and the Environment University of Arizona  Tucson Arizona USA,-110.9553043,32.2285585
http://orcid.org/0000-0003-4536-3000,Michelle H. Busch,Department of Biology University of Oklahoma  Norman Oklahoma USA,-97.4457137,35.2058936
http://orcid.org/0000-0002-3552-3691,Rebecca Hale,Department of Biological Sciences Idaho State University  Pocatello ID USA,-112.429762,42.8627836
http://orcid.org/0000-0002-3296-1864,Ryan M. Burrows,School of Ecosystem and Forest Sciences The University of Melbourne Burnley Campus  Victoria Australia,144.9618706,-37.7965345
http://orcid.org/0000-0002-8735-5757,Samuel C. Zipper,Kansas Geological Survey University of Kansas  Lawrence KS USA,-95.261271,38.949096
http://orcid.org/0000-0001-6529-7886,Sarah E. Godsey,Department of Geosciences Idaho State University  Pocatello ID USA,-112.434747,42.8631271
http://orcid.org/0000-0001-8991-2679,Stephanie K. Kampf,Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins CO USA,-105.0865487,40.5734148
http://orcid.org/0000-0001-8991-2679,Stephanie K. Kampf,Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins CO USA,-105.0865487,40.5734148
http://orcid.org/0000-0001-8991-2679,Stephanie Kampf,Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins Colorado USA,-105.0865487,40.5734148
http://orcid.org/0000-0001-8991-2679,Stephanie Kampf,Department of Ecosystem Science and Sustainability Colorado State University  Fort Collins Colorado USA,-105.0865487,40.5734148
http://orcid.org/0000-0003-1390-6736,Thibault Datry,Centre de Lyon‐Villeurbanne  Villeurbanne CEDEX France,4.8901709,45.771944
http://orcid.org/0000-0002-6666-8930,Walter Dodds,Division of Biology Kansas State University  Manhattan KS USA,-96.5846433,39.1924904
